07862616;09402638;10061286;13773245;31239959;33333333;36065936;36086587;47352350;52455070;76512655;75873323
Tarifa;0;229;24;0;0;137;0;0;0;0;0;0
Finisterre;72;16;47;0;7;0;0;0;41;0;0;0
Avilés;0;7;0;6;0;0;19;0;0;76;26;0
A Coruña;0;0;0;59;0;0;20;20;0;0;0;8
Cedeira;0;0;0;0;0;0;0;0;0;0;0;0
Cillero;0;0;0;0;0;0;0;0;0;0;0;0
Marín;0;0;0;0;0;0;0;0;0;0;0;0
Barbate;0;0;0;0;0;0;0;0;0;0;0;0
Burela;0;0;0;0;0;0;0;0;0;0;0;0
Vigo;0;0;0;0;0;0;0;0;0;0;0;0
San Vicente de la Barquera;0;0;0;0;0;0;0;0;0;0;0;0
Santoña;0;0;0;0;0;0;0;0;0;0;0;0
Luarca;0;0;0;0;0;0;0;0;0;0;0;0
Santa Eugenia de Ribeira;0;0;0;0;0;0;0;0;0;0;0;0
Gijón;0;0;0;0;0;0;0;0;0;0;0;0
Muros;0;0;0;0;0;0;0;0;0;0;0;0
